REG_ANS;ano;trimestre;VL_SALDO_FINAL
326305;2023;4;160403218564.9
326305;2025;1;55750324684.09
326305;2025;2;98893714005.06
326305;2025;3;142083821419.42
326500;2023;4;2154197235.55
326500;2025;1;811550643.46
326500;2025;2;1503811498.01
326500;2025;3;2193969433.63
326755;2023;4;996713910.31
326755;2025;1;452618883.45
326755;2025;2;886050448.07
326755;2025;3;1327348319.72
326861;2023;4;2189085572.94
326861;2025;1;633272329.3
326861;2025;2;1191248226.82
326861;2025;3;1719078310.94
327093;2023;4;38212049.81
327328;2023;4;7971864.9
327328;2025;1;2548701.49
327328;2025;2;4726627.39
327328;2025;3;7352567.98
327352;2023;4;286140199.91
327352;2025;1;103813328.77
327352;2025;2;181509559.02
327352;2025;3;268334587.66
327417;2023;4;1715257168.94
327417;2025;1;524581615.22
327417;2025;2;999785545.03
327417;2025;3;1502390035.85
327441;2023;4;21760944.79
327468;2023;4;138275771.03
327468;2025;1;66572035.63
327468;2025;2;109359622.86
327468;2025;3;163999438.47
327557;2023;4;699469737.53
327557;2025;1;249710590.88
327557;2025;2;447030770.68
327557;2025;3;630060310.88
327638;2023;4;112879266.26
327638;2025;1;41721486.72
327638;2025;2;72661424.25
327638;2025;3;112022110.97
327689;2023;4;6232926566.96
327689;2025;1;2272038824.09
327689;2025;2;4116923998.37
327689;2025;3;6007597010.37
327867;2023;4;22739567.97
328031;2023;4;-9618103.43
328031;2025;1;-6083733.28
328031;2025;2;-14862552.45
328031;2025;3;-14862552.45
328073;2023;4;420746698.52
328294;2023;4;935114423.18
328294;2025;1;292861181.44
328294;2025;2;509924607.13
328294;2025;3;734383660.41
328308;2023;4;264053320.56
328308;2025;1;88220570.65
328308;2025;2;173148010.05
328308;2025;3;264982573.66
328375;2023;4;196696587.09
328375;2025;1;66486274.98
328375;2025;2;118091765.54
328375;2025;3;175111470.53
328537;2023;4;932510158.17
328537;2025;1;396514315.92
328537;2025;2;706521149.64
328537;2025;3;1055969980.97
329339;2023;4;2286243345.68
329339;2025;1;684446606.8
329339;2025;2;1327082540.21
329339;2025;3;1995303947.16
329355;2023;4;289713876.11
329355;2025;1;100574491.38
329355;2025;2;197625344.95
329355;2025;3;304478964.57
